"Family","n stocks","n species","n genera","Vulnerability score","Productivity score","Susceptibility score"
"Psychrolutidae","1","3","2","2.19 +/- 0.02","2.11 +/- 0.06","3 +/- 0"
"Macrouridae","1","1","1","2.09","1.17","2"
"Lethrinidae","7","4","2","2.08 +/- 0.13","2.17 +/- 0.18","2.88 +/- 0.12"
"Arhynchobatidae","3","13","1","2.02 +/- 0.06","1.56 +/- 0.05","2.41 +/- 0.06"
"Cottidae","7","20","9","2.01 +/- 0.05","2.51 +/- 0.06","2.92 +/- 0.05"
"Hemitripteridae","2","4","3","2.01 +/- 0","2.83 +/- 0","3 +/- 0"
"Scorpaenidae","69","46","3","2 +/- 0.05","1.54 +/- 0.02","2.29 +/- 0.07"
"Scaridae","12","19","5","1.88 +/- 0.07","2.46 +/- 0.08","2.76 +/- 0.07"
"Anarhichadidae","1","1","1","1.8","1.33","1.67"
"Polyprionidae","1","1","1","1.8","1.33","1.67"
"Zoarcidae","1","1","1","1.77","1.83","2.33"
"Rajidae","12","10","5","1.75 +/- 0.05","1.5 +/- 0.02","1.86 +/- 0.09"
"Acanthuridae","3","3","1","1.73 +/- 0.2","2.11 +/- 0.11","2.44 +/- 0.29"
"Squalidae","5","2","1","1.72 +/- 0.28","1.37 +/- 0.2","1.45 +/- 0.22"
"Lophiidae","2","1","1","1.67","2","2.33"
"Mullidae","4","4","2","1.67 +/- 0.19","3 +/- 0","2.67 +/- 0.19"
"Lamnidae","2","1","1","1.64","1.43","1.33"
"Lutjanidae","23","20","7","1.56 +/- 0.11","2.29 +/- 0.09","2.33 +/- 0.11"
"Pleuronectidae","39","28","20","1.56 +/- 0.08","2.13 +/- 0.05","2.2 +/- 0.11"
"Somniosidae","3","1","1","1.53","1.57","1.44"
"Carangidae","9","5","3","1.5 +/- 0.15","2.53 +/- 0.14","2.36 +/- 0.21"
"Serranidae","19","11","5","1.47 +/- 0.13","2.03 +/- 0.1","2.06 +/- 0.13"
"Malacanthidae","5","2","2","1.4 +/- 0.02","1.86 +/- 0.14","1.75 +/- 0.25"
"Gadidae","18","7","4","1.34 +/- 0.1","2.09 +/- 0.05","1.93 +/- 0.14"
"Rachycentridae","1","1","1","1.32","2.14","2"
"Anoplopomatidae","2","1","1","1.29","1.71","1"
"Merlucciidae","4","3","1","1.18 +/- 0.08","2.17 +/- 0.25","1.62 +/- 0.31"
"Clupeidae","3","3","3","1.17 +/- 0.12","2.29 +/- 0.22","1.89 +/- 0.11"
"Pomatomidae","1","1","1","1.09","2.57","2"
"Scombridae","6","4","2","1.07 +/- 0.16","2.21 +/- 0.23","1.62 +/- 0.14"
"Scophthalmidae","2","1","1","1.04","2.71","2"
"Hexagrammidae","5","3","3","1.02 +/- 0.02","2.43 +/- 0.12","1.81 +/- 0.1"
"Paralichthyidae","3","2","2","1.01 +/- 0.49","2.92 +/- 0.08","2 +/- 0.5"
"Labridae","3","1","1","0.94","2.43","1.75"
"Balistidae","4","2","1","0.94 +/- 0.06","3 +/- 0","1.94 +/- 0.06"
"Sparidae","2","2","2","0.91 +/- 0.18","2.57 +/- 0","1.8 +/- 0.2"
"Engraulidae","1","1","1","0.77","2.83","1.75"
"Stromateidae","1","1","1","0.4","3","1.4"
